Ranking,Title,Genre,Publisher,Year,Directors,Plot,Rating,Votes,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Platforms
"123","Animal Crossing: City Folk","Simulation","Nintendo","2008","Hisashi Nogami","Live and prosper as a new resident in a town populated and run by animals.",6.8,732,1.87,1.12,1.32,0.37,4.68,"Wii"
"124","Animal Crossing: Happy Home Designer","Simulation","Nintendo","2015","Isao Moro","A brilliant game of house garden and facilities designer. Put all kinds of stuff in a building from small chairs to giant eggs and turn it into your dream neighborhood.",2.9,265,0.47,1,1.39,0.12,2.98,"3DS"
"125","Animal Crossing: New Leaf","Simulation","Nintendo","2012","Aya Kyogoku, Isao Moro","Live and prosper as a mayor in a town full of animals where you can basically do anything you want while paying the loan on your house. Installment for the Nintendo 3DS.",7.6,1087,2.01,2.32,4.36,0.41,9.09,"3DS"
"126","Animal Crossing: Wild World","Simulation","Nintendo","2005","Hisashi Nogami","An open-ended game in which the player, assuming the role of a human, moves to a village populated by anthropomorphic animals, where they can complete numerous tasks and personalize their town.",7.7,228,2.55,3.52,5.33,0.88,12.27,"DS"
"127","Animaniacs: The Great Edgar Hunt","Platform","Ignition Entertainment","2005","Missing","An evil director steals all the Edgars before the WB awards ceremony. Unfortunately, his assistant crashes their blimp into the water tower, freeing the Warner siblings. It's up to them to find all the Edgars before the ceremony goes on.",7.8,29,0.02,0.01,0,0,0.03,"GC"
"128","Animorphs: Shattered Reality","Action","Infogrames","2000","Missing","Missing",6.8,21,0.03,0.02,0,0,0.06,"PS"
"129","Antz Extreme Racing","Racing","Empire Interactive","2002","Missing","You take a movie not necessarily made for kids all about communism, propaganda, individuality, the politics of war, and exploitation of the working class for the benefit of the ...                See full summary »",5.2,19,0.03,0.02,0,0.01,0.06,"PS2|XB"
"130","Ape Escape","Platform","Sony Computer Entertainment","1999","Masamichi Seki","Teen-age hero Spike must journey through time and capture superintelligent monkeys in an attempt to foil their plans for world domination.",7.9,215,0.71,0.51,0.32,0.12,1.68,"PS3|PS"
"131","Ape Escape 2","Platform","Sony Computer Entertainment","2002","Naoto Ôta","The evil monkey Specter has escaped and this time, he has kidnapped The Professor and plans to wreak havoc on Earth with his monkeys. A teen aged-boy and the cousin of Spike, Jimmy (Hikaru ...                See full summary »",7.3,130,0.12,0.09,0.38,0.03,0.63,"PS2"
"132","Ape Escape 3","Platform","Sony Computer Entertainment","2005","Yuzo Sugano, Naoto Ôta","Missing",7.9,105,0.06,0.05,0,0.02,0.13,"PS2"
